Id,Title,Price,image_link,Link,Description,availability
19,Easter Care Package Stickers for College or Deployment Gift Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2163155755_1rpn.jpg?v=1636313864,https://stickersforcarepackage.com/products/easter-care-package-stickers-i-miss-you?_pos=3&_sid=6a31beffd&_ss=r,"Our Easter care package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship care package. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
20,Easter Care Package Stickers for Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2230918473_3xw8.jpg?v=1636322138,https://stickersforcarepackage.com/products/easter-care-package-stickers?_pos=2&_sid=6a31beffd&_ss=r,Our easter care package sticker kits are a quick any easy way to customize any college care package and make great DIY easter gift boxes and create a long-distance gifts. ,In stock
21,Medical School Care Package Stickers- Survival Kit,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2077433440_pmm9.jpg?v=1636425027,https://stickersforcarepackage.com/products/medical-school-care-package-stickers?_pos=2&_sid=2a1537624&_ss=r,Our care package sticker kits are a quick any easy way to customize any college or deployment care package or create a long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
22,Law School Care Package Stickers for Student Gift Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2083231916_odn5.jpg?v=1636331700,https://stickersforcarepackage.com/products/law-school-care-package-stickers?_pos=1&_sid=dbe5b88f3&_ss=r,Our care package sticker kits are a quick any easy way to customize any law school or bar exam survival kit. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
23,Law School Care Package Stickers for Student Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2450011778_d5ku.jpg?v=1636315203,https://stickersforcarepackage.com/products/law-school-care-package-stickers-books?_pos=2&_sid=dbe5b88f3&_ss=r,Our law school care package sticker kits are a quick any easy way to customize any law school care package or survival kit. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
24,Anniversary Care Package Stickers for Long Distance Relationships,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2077383876_e08q.jpg?v=1636321018,https://stickersforcarepackage.com/products/anniversary-care-package-stickers-hearts?_pos=1&_sid=60d90d3b4&_ss=r&variant=36630296494229,Our care package sticker kits are a quick any easy way to create custom anniversary  gifts for long distance relationships. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
25,Long Distance Relationship Care Package Stickers for Boyfriend,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2130639457_7tmy.jpg?v=1636424505,https://stickersforcarepackage.com/products/long-distance-care-package-stickers-sun-moon-stars?_pos=1&_sid=5a4aa3693&_ss=r&variant=36630272671893,"Our care package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
26,Long Distance Care Package Stickers - Distance Means Little,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2076575910_ori7.jpg?v=1636425629,https://stickersforcarepackage.com/products/long-distance-care-package-stickers-1?_pos=1&_sid=2fe6aea1e&_ss=r,"Our care package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship care package. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
27,Fitness Care Package Stickers Swole Mate Gym and Workout Gift Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2126245459_oie6.jpg?v=1636424801,https://stickersforcarepackage.com/products/long-distance-care-package-stickers-swole-mate?_pos=1&_sid=21aa6b7ba&_ss=r&variant=36629880733845,"Our Swole Mate care package sticker kits are a quick any easy way to customize any college,  deployment or long distance gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
28,College Finals Care Package Stickers - You Got This,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2073694440_pexd.jpg?v=1636320510,https://stickersforcarepackage.com/products/college-care-package-stickers-paper?_pos=2&_sid=ec0ad71e1&_ss=r,Our care package sticker kits are a quick any easy way to customize any college care package for students. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
29,Finals Care Package Stickers - Exam Survival Kit,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2159309138_91zi.jpg?v=1636315672,https://stickersforcarepackage.com/products/college-care-package-stickers-exam-brown?_pos=1&_sid=ec0ad71e1&_ss=r,Our care package sticker kits are a quick any easy way to customize any college care package for students. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
30,Graduation Care Package Stickers 2022 Grad,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/GRADI.jpg?v=1644360654,https://stickersforcarepackage.com/products/college-graduation-care-package-stickers-2020?_pos=1&_psq=GRAD&_ss=e&_v=1.0,Our graduation care package sticker kits are a quick any easy way to customize any college or high school graduation gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
31,Movie Night Care Package Stickers for College Student ,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/movie.png?v=1636331303,https://stickersforcarepackage.com/products/movie-night-care-package-stickers?_pos=1&_sid=096ac75b2&_ss=r&variant=36612346314901,Our care package sticker kits are a quick any easy way to customize any college care package for students or deployed service members. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
32,College Exam Care Package Stickers for Student Gift Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2121287243_aq5o.jpg?v=1636320729,https://stickersforcarepackage.com/products/college-birthday-care-package-stickers-exam-kit?_pos=2&_sid=dac1b1c46&_ss=r&variant=36612274356373,Our care package sticker kits are a quick any easy way to customize any college care package gift box for students. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
33,College Care Package Stickers for Student Gift Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2124347349_nig2.jpg?v=1636322074,https://stickersforcarepackage.com/products/college-birthday-care-package-stickers?_pos=1&_sid=974d5de04&_ss=r&variant=36612170285205,Our care package sticker kits are a quick any easy way to customize any college care package for students. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
34,College Care Package Stickers for Medical Student,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2077397566_gl2r.jpg?v=1636315420,https://stickersforcarepackage.com/products/college-care-package-stickers-medical?_pos=1&_psq=medical&_ss=e&_v=1.0,"Our care package sticker kits are a quick any easy way to customize any college, deployment or long distance gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
35,Sympathy and Support Care Package Stickers for Gift Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2124028137_pwl6.jpg?v=1636426585,https://stickersforcarepackage.com/products/copy-of-long-distance-care-package-stickers-there-for-you?_pos=1&_psq=there&_ss=e&_v=1.0&variant=36611920330901,"Our care package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
36,Care Package Stickers - Box of Sunshine for College Student,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2180445724_tr7b.jpg?v=1636404133,https://stickersforcarepackage.com/products/long-distance-care-package-stickers-out-of-the-blue?_pos=2&_sid=5a4aa3693&_ss=r&variant=36611757441173,"Our care package sticker kits are a quick any easy way to customize any college, deployment, or long distance gift box for friend and loved ones. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
37,Military Deployment Care Package Stickers for Long Distance,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2122820649_361u.jpg?v=1636425456,https://stickersforcarepackage.com/products/long-distance-care-package-stickers-world-map-1?_pos=1&_psq=world&_ss=e&_v=1.0,Our care package sticker kits are a quick any easy way to customize any deployment or long distance relationship gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
38,Long Distance Relationship Care Package Stickers for Military Deployment,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2130555805_k2gq.jpg?v=1636328270,https://stickersforcarepackage.com/products/long-distance-care-package-stickers?_pos=1&_psq=stars&_ss=e&_v=1.0,"Our care package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
39,Long Distance Relationship Care Package Stickers for Funny Deployment Gift,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2090901398_pugn.jpg?v=1636403397,https://stickersforcarepackage.com/products/long-distance-care-package-stickers-jerkin?_pos=1&_psq=jerkin&_ss=e&_v=1.0,"Our care package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship care packages. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
40,Long Distance Relationship Care Package Stickers I miss you Deployment Gift,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2490454237_chz9.jpg?v=1636314479,https://stickersforcarepackage.com/products/long-distance-care-package-stickers-world-map?_pos=2&_psq=kiss&_ss=e&_v=1.0,"Our care package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
41,Long Distance Care Package Stickers for Military Deployment or College Students,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2072522016_e7op.jpg?v=1636425981,https://stickersforcarepackage.com/products/long-distance-care-package-stickers-us-map?_pos=3&_sid=1ef885cfc&_ss=r,"Our care package sticker kits are a quick any easy way to customize any college,  deployment or long distance gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
42,Birthday Care Package Stickers for Gift Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3473678241_ssyl.jpg?v=1636321669,https://stickersforcarepackage.com/products/birthday-care-package-stickers-2?_pos=1&_psq=pink&_ss=e&_v=1.0,Our birthday care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
43,Birthday Care Package Stickers for Long Distance Military or College Student,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2215194484_thch.jpg?v=1635465537,https://stickersforcarepackage.com/products/birthday-care-package-stickers-1?_pos=7&_sid=69a5f3800&_ss=r&variant=36610755166357,Our birthday care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
44,Birthday Care Package Stickers for Gift Box for College or Military Deployment,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3464866301_hinn.jpg?v=1636321503,https://stickersforcarepackage.com/products/birthday-care-package-stickers?_pos=1&_sid=a4c17dbae&_ss=r&variant=36610726363285,Our birthday care package sticker kits are a quick any easy way to customize any boring shipping box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
45,21st Birthday Box Flap Stickers for Care Package,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2260942654_q2gi.jpg?v=1636320970,https://stickersforcarepackage.com/products/21st-birthday-care-package-stickers-1?_pos=3&_sid=58b3c967f&_ss=r&variant=41391536701589,Our 21st birthday care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
46,21st Birthday Gift Box Stickers for Care Package Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3465203063_d0ij.jpg?v=1636320933,https://stickersforcarepackage.com/products/21st-birthday-care-package-stickers?_pos=1&_sid=58b3c967f&_ss=r&variant=41391522742421,Our 21st birthday care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
47,21st Birthday Box for Her Care Package Package Gift ,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3464849897_jcbh.jpg?v=1636320908,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers-8?_pos=5&_sid=69a5f3800&_ss=r,Our 21st birthday care package sticker kits are a quick any easy way to customize any shipping box for a memorable delivery. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
48,Valentine's Day Box Care Package Flap Stickers,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/val.png?v=1636511723,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers-7?_pos=2&_psq=valentines&_ss=e&_v=1.0,Our Valentine's Day care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
49,Valentine's Day Care Package Stickers for College or Military Deployment,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/valentines.png?v=1636511263,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers-6?_pos=5&_sid=17a8ffbc1&_ss=r,Our Valentine's Day care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
50,Valentine's Day Box Care Package Flap Stickers,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2139467816_tj26.jpg?v=1636511427,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers-5?_pos=2&_sid=17a8ffbc1&_ss=r,Our Valentine's Day care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
51,I Love You Care Package Flap Stickers for Gift Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2124344611_rxi8.jpg?v=1636426841,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers-4?_pos=1&_sid=0a45b690c&_ss=r,"Our I Love You care package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
52,Valentine's Day Care Package Stickers for Shipping Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2102337632_5lti.jpg?v=1636473521,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers-3?_pos=6&_sid=17a8ffbc1&_ss=r,Our Valentine's Day care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
53,Valentine's Day Care Package Stickers for USPS Flat Rate Boxes,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3502936287_4yl8.jpg?v=1641939116,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers-2?_pos=3&_sid=17a8ffbc1&_ss=r,Our Valentine's Day care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
54,Valentine's Day Care Package Stickers for Inside Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2140410173_f7m3.jpg?v=1636427530,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers-1?_pos=7&_sid=17a8ffbc1&_ss=r,Our Valentine's Day care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
55,Care Package Stickers for Long Distance Boyfriend,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/heart.png?v=1636510416,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers?_pos=10&_sid=17a8ffbc1&_ss=r,"Our I Love You are package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
56,Winter Care Package Stickers for Gift Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2076097662_t89v.jpg?v=1636228396,https://stickersforcarepackage.com/products/christmas-care-package-stickers-snow-much?_pos=1&_sid=d223f3937&_ss=r,"Our winter care package sticker kits are a quick any easy way to make custom college, deployment and long distance gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
57,Christmas Care Package Stickers- New Year 2022,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3429123455_7jkm.jpg?v=1636321909,https://stickersforcarepackage.com/products/christmas-care-package-stickers-6?_pos=8&_sid=397e6a441&_ss=r&variant=36607345393813,"Our Christmas care package sticker kits are a quick any easy way to customize any shipping box for college, deployment or long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
58,Christmas Care Package Stickers for Military Deployment Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2590193223_n9id.jpg?v=1636228061,https://stickersforcarepackage.com/products/christmas-care-package-stickers-5?_pos=2&_sid=397e6a441&_ss=r&variant=36607222907029,"Our Christmas care package sticker kits are a quick any easy way to customize any shipping box to create a memorable college, deployment or long distance gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
59,Christmas Care Package Stickers For Long Distance Deployment,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3391350622_hvwb.jpg?v=1636322036,https://stickersforcarepackage.com/products/christmas-care-package-stickers-grinch?_pos=1&_sid=397e6a441&_ss=r&variant=36605110681749,"Our Christmas care package sticker kits are a quick any easy way to create custom gift boxes for college, deployment or long distance relationships. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
60,Thanksgiving Care Package Stickers for Fall Gift Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/THAKSGIVING.jpg?v=1636312968,https://stickersforcarepackage.com/products/thanksgiving-care-package-stickers-1,"Our Thanksgiving care package sticker kits are a quick any easy way to decorate any college, deployment or long distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
61,Thanksgiving Care Package Stickers Gobble Gobble for Deployment,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3469582335_c0sc.jpg?v=1636230274,https://stickersforcarepackage.com/products/thanksgiving-care-package-stickers-gobble-gobble,"Our Thanksgiving care package sticker kits are a quick any easy way to decorate any college, deployment or long distance care package. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
62,Thanksgiving Care Package Stickers for College and Military Deployment,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2072449560_dw1k.jpg?v=1636311879,https://stickersforcarepackage.com/products/thanksgiving-care-package-stickers,"Our Thanksgiving care package sticker kits are a quick any easy way to decorate any college, deployment or long distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
63,Halloween Care Package Stickers for Long Distance College Student or Deployment,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2358862838_n3ji.jpg?v=1636331525,https://stickersforcarepackage.com/products/halloween-care-package-stickers-scary,"Our Halloween care package sticker kits are a quick any easy way to decorate any college, deployment or long distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
64,Halloween Care Package Stickers for Boyfriend,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2524640201_863c.jpg?v=1636403958,https://stickersforcarepackage.com/products/copy-of-halloween-care-package-stickers-1,"Our Halloween care package sticker kits are a quick any easy way to decorate any college, deployment or long distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
